listid,listname,start_date,end_date,status,incubation_months,pj_url,pj_github_url,language,downturn_start,downturn_end
59,Apex,2015-08-17,2016-04-20,1,8.23333333333333,http://incubator.apache.org/projects/apex.html,https://github.com/apache/apex-core,Java,2015-12-03,2015-12-09
62,AsterixDB,2015-02-28,2016-04-20,1,13.9,http://incubator.apache.org/projects/asterixdb.html,https://github.com/apache/AsterixDB,Java,2015-03-02,2015-04-09
63,Atlas,2015-05-05,2017-06-21,1,25.9333333333333,http://incubator.apache.org/projects/atlas.html,https://github.com/apache/Atlas,Java,2015-05-14,2015-06-07
65,Beam,2016-02-01,2016-12-21,1,10.8,http://incubator.apache.org/projects/beam.html,https://github.com/apache/Beam,Java,2016-09-06,2016-09-11
70,Brooklyn,2014-05-01,2015-11-18,1,18.8666666666666,http://incubator.apache.org/projects/brooklyn.html,https://github.com/apache/incubator-brooklyn,Java,2015-06-27,2015-07-13
72,Calcite,2014-05-19,2015-10-22,1,17.3666666666666,http://incubator.apache.org/projects/calcite.html,https://github.com/apache/Calcite,Java,2014-10-03,2014-10-16
73,CarbonData,2016-06-02,2017-04-19,1,10.7,http://incubator.apache.org/projects/carbondata.html,https://github.com/apache/CarbonData,Scala,2017-02-04,2017-02-13
82,CommonsRDF,2015-03-06,2016-11-28,1,21.1,http://incubator.apache.org/projects/commonsrdf.html,https://github.com/apache/commons-rdf,Java,2015-12-11,2016-03-11
89,DataFu,2014-01-05,2018-02-21,1,50.2666666666666,http://incubator.apache.org/projects/datafu.html,https://github.com/apache/DataFu,Java,2014-11-28,2015-05-26
96,DistributedLog,2016-06-24,2017-07-01,1,12.4,http://incubator.apache.org/projects/distributedlog.html,https://github.com/apache/DistributedLog,Java,2017-04-27,2017-06-11
98,Dubbo,2018-02-16,2019-05-15,1,15.1,http://incubator.apache.org/projects/dubbo.html,https://github.com/apache/Dubbo,Java,2018-06-07,2018-07-25
106,Fineract,2015-12-15,2017-04-19,1,16.3666666666666,http://incubator.apache.org/projects/fineract.html,https://github.com/apache/fineract,Java,2016-09-22,2016-10-15
108,Flink,2014-04-14,2014-12-17,1,8.23333333333333,http://incubator.apache.org/projects/flink.html,https://github.com/apache/Flink,Java,2014-11-28,2014-12-04
110,Fluo,2016-05-17,2017-07-19,1,14.2666666666666,http://incubator.apache.org/projects/fluo.html,https://github.com/apache/Fluo,Java,2017-01-11,2017-03-28
113,Geode,2015-04-27,2016-11-16,1,18.9666666666666,http://incubator.apache.org/projects/geode.html,https://github.com/apache/Geode,Java,2015-05-12,2015-07-02
117,Griffin,2016-12-05,2018-11-21,1,23.8666666666666,http://incubator.apache.org/projects/griffin.html,https://github.com/apache/Griffin,Scala,2017-11-29,2018-01-07
118,Groovy,2015-03-17,2015-11-18,1,8.2,http://incubator.apache.org/projects/groovy.html,https://github.com/apache/Groovy,Java,2015-08-06,2015-08-18
119,Guacamole,2016-02-10,2017-11-15,1,21.4666666666666,http://incubator.apache.org/projects/guacamole.html,https://github.com/apache/guacamole-server,C,2016-09-05,2016-10-16
122,HAWQ,2015-09-04,2018-08-15,1,35.8666666666666,http://incubator.apache.org/projects/hawq.html,https://github.com/apache/HAWQ,C,2018-06-06,2018-07-01
128,Ignite,2014-10-01,2015-09-18,1,11.7333333333333,http://incubator.apache.org/projects/ignite.html,https://github.com/apache/Ignite,Java,2014-12-24,2015-01-13
129,Impala,2015-12-03,2017-11-15,1,23.7666666666666,http://incubator.apache.org/projects/impala.html,https://github.com/apache/Impala,C++,2016-04-13,2016-05-11
137,Johnzon,2014-06-09,2016-04-20,1,22.7,http://incubator.apache.org/projects/johnzon.html,https://github.com/apache/Johnzon,Java,2015-12-09,2016-01-27
138,Joshua,2016-02-13,2018-10-17,1,32.5666666666666,http://incubator.apache.org/projects/joshua.html,https://github.com/apache/Joshua,Java,2017-06-21,2018-03-04
141,Juneau,2016-06-24,2017-10-18,1,16.0333333333333,http://incubator.apache.org/projects/juneau.html,https://github.com/apache/Juneau,Java,2016-10-10,2016-11-13
144,Kudu,2015-12-03,2016-07-20,1,7.66666666666666,http://incubator.apache.org/projects/kudu.html,https://github.com/apache/Kudu,C++,2015-12-24,2016-01-04
145,Kylin,2014-11-25,2015-11-18,1,11.9333333333333,http://incubator.apache.org/projects/kylin.html,https://github.com/apache/Kylin,Java,2015-02-13,2015-02-25
146,Lens,2014-10-10,2015-08-19,1,10.4333333333333,http://incubator.apache.org/projects/lens.html,https://github.com/apache/Lens,Java,2014-12-02,2014-12-14
155,MADlib,2015-09-15,2017-07-19,1,22.4333333333333,http://incubator.apache.org/projects/madlib.html,https://github.com/apache/MADlib,C++,2016-04-21,2016-06-02
161,Metron,2015-12-06,2017-04-19,1,16.6666666666666,http://incubator.apache.org/projects/metron.html,https://github.com/apache/Metron,Java,2016-12-20,2017-01-09
167,Mynewt,2015-10-20,2017-06-21,1,20.3333333333333,http://incubator.apache.org/projects/mynewt.html,https://github.com/apache/mynewt-core,C,2015-12-29,2016-01-04
168,NetBeans,2016-10-01,2019-04-17,1,30.9333333333333,http://incubator.apache.org/projects/netbeans.html,https://github.com/apache/NetBeans,Java,2018-02-16,2018-10-29
169,NiFi,2014-11-24,2015-07-15,1,7.76666666666666,http://incubator.apache.org/projects/nifi.html,https://github.com/apache/NiFi,Java,2014-11-27,2014-12-07
192,PLC4X,2017-12-18,2019-04-17,1,16.1666666666666,http://incubator.apache.org/projects/plc4x.html,https://github.com/apache/PLC4X,Java,2018-11-18,2019-01-23
194,PredictionIO,2016-05-26,2017-10-18,1,17.0,http://incubator.apache.org/projects/predictionio.html,https://github.com/apache/PredictionIO,Scala,2016-11-03,2016-12-15
195,Pulsar,2017-06-01,2018-09-19,1,15.8333333333333,http://incubator.apache.org/projects/pulsar.html,https://github.com/apache/Pulsar,Java,2018-03-05,2018-04-30
197,Ranger,2014-07-24,2017-01-18,1,30.3,http://incubator.apache.org/projects/ranger.html,https://github.com/apache/Ranger,Java,2015-07-10,2015-07-27
200,REEF,2014-08-12,2015-11-18,1,15.4333333333333,http://incubator.apache.org/projects/reef.html,https://github.com/apache/REEF,Java,2014-11-20,2014-12-16
202,RocketMQ,2016-11-21,2017-09-20,1,10.1,http://incubator.apache.org/projects/rocketmq.html,https://github.com/apache/RocketMQ,Java,2017-07-15,2017-07-24
207,ServiceComb,2017-11-22,2018-10-17,1,10.9666666666666,http://incubator.apache.org/projects/servicecomb.html,https://github.com/apache/incubator-servicecomb-java-chassis.git,Java,2018-04-03,2018-05-31
226,SystemML,2015-11-02,2017-05-18,1,18.7666666666666,http://incubator.apache.org/projects/systemml.html,https://github.com/apache/SystemML,Java,2016-12-23,2017-01-04
232,TinkerPop,2015-01-16,2016-05-23,1,16.4333333333333,http://incubator.apache.org/projects/tinkerpop.html,https://github.com/apache/TinkerPop,Java,2015-01-27,2015-02-05
234,Traffic Control,2016-07-12,2018-05-16,1,22.4333333333333,http://incubator.apache.org/projects/trafficcontrol.html,https://github.com/apache/TrafficControl,Go,2017-12-06,2018-01-16
236,Trafodion,2015-05-24,2017-12-20,1,31.3666666666666,http://incubator.apache.org/projects/trafodion.html,https://github.com/apache/Trafodion,C++,2017-08-04,2017-08-29
241,Unomi,2015-10-05,2019-02-20,1,41.1333333333333,http://incubator.apache.org/projects/unomi.html,https://github.com/apache/Unomi,Java,2016-05-12,2016-07-03
306,Wave,2010-12-04,2018-01-15,2,86.63333333,http://incubator.apache.org/projects/wave.html,https://github.com/apache/incubator-retired-Wave,,2011-04-09,2011-08-20
298,Sirona,2013-10-15,2017-07-03,2,45.23333333,http://incubator.apache.org/projects/sirona.html,https://github.com/apache/Sirona,,2016-10-24,2017-03-10
285,MRQL,2013-03-13,2017-08-18,2,53.96666667,http://incubator.apache.org/projects/mrql.html,https://github.com/apache/incubator-retired-MRQL,,2015-07-27,2015-11-02
256,AriaTosca,2016-08-27,2018-07-01,2,22.4333333333333,http://incubator.apache.org/projects/ariatosca.html,https://github.com/apache/incubator-AriaTosca,Python,2017-10-07,2017-10-19
261,Climate Model Diagnostic Analyzer,2015-05-08,2017-02-05,2,21.3,http://incubator.apache.org/projects/cmda.html,https://github.com/apache/incubator-retired-cmda,Java,2015-09-09,2015-10-15
263,Concerted,2015-10-14,2016-04-25,2,6.46666666666666,http://incubator.apache.org/projects/concerted.html,https://github.com/apache/incubator-retired-concerted,C++,2015-11-06,2016-04-24
264,Corinthia,2014-12-08,2015-11-19,2,11.5333333333333,http://incubator.apache.org/projects/corinthia.html,https://github.com/apache/incubator-retired-corinthia,C,2015-04-25,2015-06-06
268,Gearpump,2016-03-08,2018-09-19,2,30.8333333333333,http://incubator.apache.org/projects/gearpump.html,https://github.com/apache/incubator-retired-gearpump,Scala,2017-12-09,2018-03-14
269,Gossip,2016-04-28,2018-08-21,2,28.1666666666666,http://incubator.apache.org/projects/gossip.html,https://github.com/apache/incubator-retired-gossip,Java,2017-05-07,2017-06-04
277,iota,2016-01-20,2018-02-15,2,25.2333333333333,http://incubator.apache.org/projects/iota.html,https://github.com/apache/incubator-retired-iota,Scala,2016-02-17,2016-05-02
290,OpenAz,2015-01-20,2016-08-26,2,19.4666666666666,http://incubator.apache.org/projects/openaz.html,https://github.com/apache/incubator-retired-OpenAz,Java,2015-08-21,2016-03-15
292,Pirk,2016-06-17,2017-04-17,2,10.1333333333333,http://incubator.apache.org/projects/pirk.html,https://github.com/apache/incubator-retired-Pirk,Java,2016-10-04,2016-10-26
294,Quickstep,2016-03-29,2018-11-30,2,32.5333333333333,http://incubator.apache.org/projects/quickstep.html,https://github.com/apache/incubator-retired-Quickstep,C++,2018-06-05,2018-11-03
299,Slider,2014-04-29,2018-05-24,2,49.5333333333333,http://incubator.apache.org/projects/slider.html,https://github.com/apache/incubator-retired-Slider,Java,2017-10-05,2018-02-20
312,Zipkin,2018-08-29,2019-06-19,2,9.8,http://incubator.apache.org/projects/zipkin.html,https://github.com/apache/Zipkin,Java,2019-03-25,2019-04-23
